LSOA code,local authority name,local authority code,Usual residents aged 3+,Main language is English,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
E01000001,City of London,E09000001,1447,1244,166,32,4,1
E01000002,City of London,E09000001,1364,1126,198,35,5,0
E01000003,City of London,E09000001,1583,1333,183,54,13,0
E01000005,City of London,E09000001,1068,756,130,111,61,10
E01032739,City of London,E09000001,1609,1193,322,66,20,8
E01032740,City of London,E09000001,1373,969,302,86,15,1
E01000006,Barking and Dagenham,E09000002,1754,1125,202,294,110,23
E01000007,Barking and Dagenham,E09000002,2748,1843,358,375,148,24
E01000008,Barking and Dagenham,E09000002,1721,1299,130,189,93,10
E01000009,Barking and Dagenham,E09000002,1724,973,263,286,175,27
E01000011,Barking and Dagenham,E09000002,1641,920,232,271,196,22
E01000012,Barking and Dagenham,E09000002,2174,1405,246,337,157,29
E01000013,Barking and Dagenham,E09000002,1811,1375,143,213,75,5
E01000014,Barking and Dagenham,E09000002,1672,1288,135,153,83,13
E01000015,Barking and Dagenham,E09000002,2295,1776,190,214,105,10
E01000016,Barking and Dagenham,E09000002,1780,1402,164,158,51,5
E01000017,Barking and Dagenham,E09000002,1673,1334,123,140,65,11
E01000018,Barking and Dagenham,E09000002,1704,1314,152,178,53,7
E01000019,Barking and Dagenham,E09000002,1590,1169,144,187,83,7
E01000020,Barking and Dagenham,E09000002,2093,1641,163,201,79,9
E01000021,Barking and Dagenham,E09000002,1629,1197,164,179,77,12
E01000022,Barking and Dagenham,E09000002,1423,1098,112,140,64,9
E01000024,Barking and Dagenham,E09000002,1437,1080,137,141,69,10
E01000025,Barking and Dagenham,E09000002,1832,1429,174,162,54,13
E01000027,Barking and Dagenham,E09000002,1992,1645,141,135,66,5
E01000028,Barking and Dagenham,E09000002,1744,1352,147,158,79,8
E01000029,Barking and Dagenham,E09000002,1757,1384,160,152,53,8
E01000030,Barking and Dagenham,E09000002,2443,2079,143,152,57,12
E01000031,Barking and Dagenham,E09000002,1699,1333,170,128,62,6
E01000032,Barking and Dagenham,E09000002,1978,1428,229,204,103,14
E01000033,Barking and Dagenham,E09000002,1486,1285,62,89,45,5
E01000034,Barking and Dagenham,E09000002,1535,1293,112,92,29,9
E01000035,Barking and Dagenham,E09000002,1795,1346,167,168,99,15
E01000036,Barking and Dagenham,E09000002,1414,1041,125,160,80,8
E01000037,Barking and Dagenham,E09000002,1645,1412,86,107,36,4
E01000038,Barking and Dagenham,E09000002,1574,1297,120,111,41,5
E01000039,Barking and Dagenham,E09000002,1673,1422,107,97,42,5
E01000040,Barking and Dagenham,E09000002,1789,1247,147,271,119,5
E01000041,Barking and Dagenham,E09000002,1767,1357,134,188,75,13
E01000042,Barking and Dagenham,E09000002,1778,1387,149,139,95,8
E01000043,Barking and Dagenham,E09000002,1486,1097,132,154,95,8
E01000044,Barking and Dagenham,E09000002,1897,1219,242,271,148,17
E01000045,Barking and Dagenham,E09000002,1642,1269,123,164,75,11
E01000046,Barking and Dagenham,E09000002,1880,1460,157,189,65,9
E01000049,Barking and Dagenham,E09000002,1873,1361,224,172,104,12
E01000050,Barking and Dagenham,E09000002,1744,1076,238,288,123,19
E01000051,Barking and Dagenham,E09000002,1013,679,171,126,28,9
E01000052,Barking and Dagenham,E09000002,2228,1447,282,315,169,15
E01000053,Barking and Dagenham,E09000002,1538,1223,112,137,60,6
E01000054,Barking and Dagenham,E09000002,1784,1432,153,143,45,11
E01000055,Barking and Dagenham,E09000002,1641,1316,118,143,58,6
E01000056,Barking and Dagenham,E09000002,1640,1350,111,116,54,9
E01000057,Barking and Dagenham,E09000002,1496,1158,128,125,76,9
E01000058,Barking and Dagenham,E09000002,2053,1506,188,247,103,9
E01000059,Barking and Dagenham,E09000002,1650,1308,124,139,64,15
E01000060,Barking and Dagenham,E09000002,2085,1733,154,132,53,13
E01000061,Barking and Dagenham,E09000002,1828,1552,114,116,38,8
E01000062,Barking and Dagenham,E09000002,2131,1716,171,152,81,11
E01000063,Barking and Dagenham,E09000002,1715,1362,147,147,52,7
E01000064,Barking and Dagenham,E09000002,2192,1697,191,200,87,17
E01000065,Barking and Dagenham,E09000002,1911,1502,160,167,74,8
E01000066,Barking and Dagenham,E09000002,2424,1761,292,207,139,25
E01000067,Barking and Dagenham,E09000002,2142,1663,187,171,100,21
E01000068,Barking and Dagenham,E09000002,1729,1266,149,164,130,20
E01000069,Barking and Dagenham,E09000002,2018,1630,135,150,89,14
E01000070,Barking and Dagenham,E09000002,1989,1511,146,214,111,7
E01000071,Barking and Dagenham,E09000002,2496,1863,247,252,110,24
E01000072,Barking and Dagenham,E09000002,2047,1615,157,167,88,20
E01000073,Barking and Dagenham,E09000002,1769,1388,148,158,67,8
E01000074,Barking and Dagenham,E09000002,1687,1290,144,152,86,15
E01000075,Barking and Dagenham,E09000002,1966,1550,139,191,80,6
E01000076,Barking and Dagenham,E09000002,2082,1599,190,176,100,17
E01000077,Barking and Dagenham,E09000002,1637,1269,135,140,77,16
E01000078,Barking and Dagenham,E09000002,1819,1406,143,175,80,15
E01000079,Barking and Dagenham,E09000002,1645,1305,144,129,62,5
E01000080,Barking and Dagenham,E09000002,1723,1379,130,147,63,4
E01000081,Barking and Dagenham,E09000002,1896,1472,152,197,66,9
