LSOA code,local authority name,local authority code,All Households,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household
E01000001,City of London,E09000001,839,371,351,70,41,6,0,0,0
E01000002,City of London,E09000001,827,411,315,62,33,5,1,0,0
E01000003,City of London,E09000001,1016,582,321,74,32,6,1,0,0
E01000005,City of London,E09000001,474,218,120,48,44,25,7,8,4
E01032739,City of London,E09000001,879,423,355,70,19,6,0,0,6
E01032740,City of London,E09000001,882,502,304,48,23,3,2,0,0
E01000006,Barking and Dagenham,E09000002,553,93,124,105,99,62,40,14,16
E01000007,Barking and Dagenham,E09000002,1192,437,304,161,154,93,17,18,8
E01000008,Barking and Dagenham,E09000002,549,133,87,104,87,60,37,18,23
E01000009,Barking and Dagenham,E09000002,601,173,124,104,83,55,27,15,20
E01000011,Barking and Dagenham,E09000002,473,96,79,72,78,57,49,19,23
E01000012,Barking and Dagenham,E09000002,778,163,197,148,135,81,32,9,13
E01000013,Barking and Dagenham,E09000002,623,117,145,145,108,68,21,12,7
E01000014,Barking and Dagenham,E09000002,634,166,154,107,130,45,23,8,1
E01000015,Barking and Dagenham,E09000002,829,183,185,186,152,81,26,12,4
E01000016,Barking and Dagenham,E09000002,628,122,167,123,113,59,32,10,2
E01000017,Barking and Dagenham,E09000002,603,146,145,110,103,56,30,7,6
E01000018,Barking and Dagenham,E09000002,641,155,154,139,117,54,17,4,1
E01000019,Barking and Dagenham,E09000002,499,73,106,99,112,67,25,6,11
E01000020,Barking and Dagenham,E09000002,660,146,100,145,128,70,33,33,5
E01000021,Barking and Dagenham,E09000002,590,160,111,119,111,52,23,8,6
E01000022,Barking and Dagenham,E09000002,477,92,118,91,96,42,20,9,9
E01000024,Barking and Dagenham,E09000002,455,74,114,81,93,49,18,14,12
E01000025,Barking and Dagenham,E09000002,698,231,129,119,98,76,20,12,13
E01000027,Barking and Dagenham,E09000002,670,133,131,134,151,72,34,5,10
E01000028,Barking and Dagenham,E09000002,621,190,104,108,105,56,41,12,5
E01000029,Barking and Dagenham,E09000002,684,189,185,116,104,64,17,8,1
E01000030,Barking and Dagenham,E09000002,906,220,211,170,176,85,30,8,6
E01000031,Barking and Dagenham,E09000002,601,154,139,86,101,59,33,22,7
E01000032,Barking and Dagenham,E09000002,723,177,168,139,119,81,26,8,5
E01000033,Barking and Dagenham,E09000002,552,156,130,105,78,49,14,10,10
E01000034,Barking and Dagenham,E09000002,515,125,131,93,76,45,25,9,11
E01000035,Barking and Dagenham,E09000002,602,145,140,97,109,66,25,12,8
E01000036,Barking and Dagenham,E09000002,476,94,103,94,85,53,32,12,3
E01000037,Barking and Dagenham,E09000002,591,128,177,121,93,42,18,9,3
E01000038,Barking and Dagenham,E09000002,562,121,139,120,96,56,22,4,4
E01000039,Barking and Dagenham,E09000002,644,164,168,127,112,49,12,6,6
E01000040,Barking and Dagenham,E09000002,655,154,153,128,125,64,14,14,3
E01000041,Barking and Dagenham,E09000002,603,108,133,139,114,69,30,8,2
E01000042,Barking and Dagenham,E09000002,657,189,133,108,108,74,26,9,10
E01000043,Barking and Dagenham,E09000002,467,102,92,73,80,58,34,20,8
E01000044,Barking and Dagenham,E09000002,657,194,100,100,135,75,34,9,10
E01000045,Barking and Dagenham,E09000002,577,118,130,122,112,62,21,9,3
E01000046,Barking and Dagenham,E09000002,662,143,148,134,134,61,29,6,7
E01000049,Barking and Dagenham,E09000002,574,116,88,106,107,75,29,46,7
E01000050,Barking and Dagenham,E09000002,632,156,159,112,85,70,26,8,16
E01000051,Barking and Dagenham,E09000002,431,128,118,67,73,27,10,7,1
E01000052,Barking and Dagenham,E09000002,796,167,173,168,159,84,30,5,10
E01000053,Barking and Dagenham,E09000002,647,231,159,89,96,39,22,6,5
E01000054,Barking and Dagenham,E09000002,638,124,161,135,127,58,22,7,4
E01000055,Barking and Dagenham,E09000002,566,90,154,124,114,55,22,3,4
E01000056,Barking and Dagenham,E09000002,570,113,132,133,106,50,23,11,2
E01000057,Barking and Dagenham,E09000002,532,95,132,138,90,51,20,3,3
E01000058,Barking and Dagenham,E09000002,692,122,156,151,154,72,23,10,4
E01000059,Barking and Dagenham,E09000002,568,126,130,133,93,44,30,7,5
E01000060,Barking and Dagenham,E09000002,809,247,179,138,132,75,25,8,5
E01000061,Barking and Dagenham,E09000002,752,269,152,143,108,50,19,9,2
E01000062,Barking and Dagenham,E09000002,775,187,175,145,132,86,27,11,12
E01000063,Barking and Dagenham,E09000002,618,142,153,123,115,58,20,2,5
E01000064,Barking and Dagenham,E09000002,793,212,177,148,126,81,34,9,6
E01000065,Barking and Dagenham,E09000002,784,282,160,135,119,47,26,7,8
E01000066,Barking and Dagenham,E09000002,710,198,112,82,125,70,42,16,65
E01000067,Barking and Dagenham,E09000002,660,124,125,119,118,91,40,17,26
E01000068,Barking and Dagenham,E09000002,475,64,78,106,85,48,41,30,23
E01000069,Barking and Dagenham,E09000002,536,82,78,65,107,82,77,20,25
E01000070,Barking and Dagenham,E09000002,580,103,101,91,112,77,44,29,23
E01000071,Barking and Dagenham,E09000002,810,187,159,133,123,109,52,24,23
E01000072,Barking and Dagenham,E09000002,738,162,193,146,123,57,42,10,5
E01000073,Barking and Dagenham,E09000002,668,180,137,133,132,59,16,7,4
E01000074,Barking and Dagenham,E09000002,615,161,152,101,118,44,24,11,4
E01000075,Barking and Dagenham,E09000002,640,126,145,102,111,76,55,12,13
E01000076,Barking and Dagenham,E09000002,789,227,193,126,138,57,28,15,5
E01000077,Barking and Dagenham,E09000002,595,138,138,120,110,45,32,7,5
E01000078,Barking and Dagenham,E09000002,620,113,144,129,117,72,34,8,3
E01000079,Barking and Dagenham,E09000002,617,175,126,119,118,51,21,6,1
E01000080,Barking and Dagenham,E09000002,608,114,174,106,119,60,20,11,4
